 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[17:35:39]: Forward liquid flow activated
[17:35:39]: Pump W2
 Open valve LRW2
 Open valve V24
 Open valve V4
 Open valve L2_OUT
 Close valve L2_OUT
 Close valve V4
 Close valve V24
 Close valve LRW2
[17:36:09]: Loop start
[17:36:09]: Wash2
 Open valve LRW2
 Open valve V24
[17:39:45]: 9173
[17:39:46]: 9153
[17:39:46]: 9153
[17:39:46]: 9151
[17:39:47]: 9140
[17:39:47]: 9112
[17:39:47]: 9071
[17:39:48]: 9081
[17:39:48]: 9076
[17:39:48]: 9058
[17:39:49]: 9117
[17:39:49]: 9112
[17:39:49]: 9093
[17:39:50]: 9088
[17:39:50]: 9082
[17:39:50]: 9064
[17:39:51]: 9064
[17:39:51]: 9081
[17:39:51]: 9110
[17:39:52]: 9127
[17:39:52]: 9144
[17:39:52]: 9138
[17:39:52]: 9124
[17:39:53]: 9132
[17:39:53]: 9140
[17:39:53]: 9230
[17:39:54]: 9216
[17:39:54]: 9216
[17:39:54]: 9234
[17:39:55]: 9269
[17:39:55]: 9231
[17:39:55]: 9228
[17:39:56]: 9250
[17:39:56]: 9281
[17:39:56]: 9315
[17:39:57]: 9336
[17:39:57]: 9344
[17:39:57]: 9373
[17:39:58]: 9409
[17:39:58]: 9430
[17:39:58]: 9358
[17:39:59]: 9387
[17:39:59]: 9420
[17:39:59]: 9423
[17:39:59]: 9456
[17:40:00]: 9484
[17:40:00]: 9518
[17:40:00]: 9463
[17:40:01]: 9550
[17:40:01]: 9492
[17:40:01]: 9547
[17:40:02]: 9558
[17:40:02]: 9584
 Close valve LR2
[17:40:02]: Wash2
 Open valve LRW2
 Open valve V24
[17:40:03]: 9610
[17:40:03]: 9531
[17:40:03]: 9522
[17:40:03]: 9466
[17:40:04]: 9465
[17:40:04]: 9483
[17:40:04]: 9495
[17:40:05]: 9507
[17:40:05]: 9487
[17:40:05]: 9479
[17:40:06]: 9480
[17:40:06]: 9406
[17:40:06]: 9364
[17:40:07]: 8387
[17:40:07]: 9333
[17:40:07]: 8505
[17:40:08]: 6691
[17:40:08]: 5754
[17:40:08]: 5345
[17:40:09]: 5346
[17:40:09]: 5289
[17:40:09]: 5257
[17:40:10]: 5246
[17:40:10]: 5252
[17:40:10]: 5208
[17:40:11]: 5230
[17:40:11]: 5160
[17:40:11]: 5161
[17:40:12]: 5160
[17:40:12]: 5144
[17:40:12]: 5115
[17:40:12]: 5136
[17:40:13]: 5142
[17:40:13]: 5071
[17:40:13]: 5074
[17:40:14]: 5097
[17:40:14]: 5101
[17:40:14]: 5112
[17:40:15]: 5100
[17:40:15]: 5113
[17:40:15]: 5085
[17:40:16]: 5066
[17:40:16]: 5072
[17:40:16]: 5130
[17:40:17]: 5113
[17:40:17]: 5116
[17:40:17]: 5104
[17:40:18]: 5084
[17:40:18]: 5134
[17:40:18]: 5139
[17:40:19]: 5103
[17:40:19]: 5108
[17:40:19]: 5115
[17:40:19]: 5096
[17:40:20]: 5112
[17:40:20]: 5089
[17:40:20]: 5105
[17:40:21]: 5075
[17:40:21]: 5134
[17:40:21]: 5107
 Close valve V24
 Close valve LRW2
[17:40:22]: dATP
 Open valve LR3
[17:40:22]: 4914
[17:40:22]: 9513
[17:40:23]: 9490
[17:40:23]: 9455
[17:40:23]: 9413
[17:40:24]: 9359
[17:40:24]: 9304
[17:40:24]: 9264
[17:40:24]: 9247
[17:40:25]: 9246
[17:40:25]: 9174
[17:40:25]: 9153
[17:40:26]: 9155
[17:40:26]: 9143
[17:40:26]: 9220
[17:40:27]: 9175
[17:40:27]: 9179
[17:40:27]: 9174
[17:40:28]: 9153
[17:40:28]: 9149
[17:40:28]: 9238
[17:40:29]: 9193
[17:40:29]: 9222
[17:40:29]: 9223
[17:40:30]: 9237
[17:40:30]: 9269
[17:40:30]: 9233
[17:40:30]: 9232
[17:40:31]: 9250
[17:40:31]: 9260
[17:40:31]: 9336
[17:40:32]: 9335
[17:40:32]: 9351
[17:40:32]: 9362
[17:40:33]: 9344
[17:40:33]: 9357
[17:40:33]: 9402
[17:40:34]: 9447
[17:40:34]: 9454
[17:40:34]: 9476
[17:40:35]: 9484
[17:40:35]: 9480
[17:40:35]: 9485
[17:40:36]: 9585
[17:40:36]: 9597
[17:40:36]: 9547
[17:40:36]: 9582
[17:40:37]: 9623
[17:40:37]: 9623
[17:40:37]: 9649
[17:40:38]: 9656
[17:40:38]: 9654
[17:40:38]: 9673
[17:40:39]: 9690
[17:40:39]: 9770
[17:40:39]: 9769
[17:40:40]: 9784
[17:40:40]: 9789
[17:40:40]: 9796
[17:40:41]: 9876
 Close valve LR3
[17:40:41]: Wash2
 Open valve LRW2
 Open valve V24
[17:40:41]: 9860
[17:40:41]: 9749
[17:40:42]: 9701
[17:40:42]: 9693
[17:40:42]: 9758
[17:40:43]: 9700
[17:40:43]: 9754
[17:40:43]: 9728
[17:40:44]: 9722
[17:40:44]: 9666
[17:40:44]: 9650
[17:40:45]: 9675
[17:40:45]: 9621
[17:40:45]: 8431
[17:40:45]: 6867
[17:40:46]: 7436
[17:40:46]: 7493
[17:40:46]: 6854
[17:40:47]: 6141
[17:40:47]: 5611
[17:40:47]: 5503
[17:40:48]: 5471
[17:40:48]: 5423
[17:40:48]: 5357
[17:40:49]: 5319
[17:40:49]: 5274
[17:40:49]: 5290
[17:40:50]: 5260
[17:40:50]: 5215
[17:40:50]: 5242
[17:40:51]: 5227
[17:40:51]: 5204
[17:40:51]: 5184
[17:40:52]: 5200
[17:40:52]: 5197
[17:40:52]: 5133
[17:40:52]: 5160
[17:40:53]: 5171
[17:40:53]: 5151
[17:40:53]: 5144
[17:40:54]: 5156
[17:40:54]: 5175
[17:40:54]: 5169
[17:40:55]: 5166
[17:40:55]: 5135
[17:40:55]: 5165
[17:40:56]: 5168
[17:40:56]: 5153
[17:40:56]: 5154
[17:40:57]: 5179
[17:40:57]: 5182
[17:40:57]: 5113
[17:40:57]: 5131
[17:40:58]: 5154
[17:40:58]: 5139
[17:40:58]: 5135
[17:40:59]: 5148
[17:40:59]: 5140
[17:40:59]: 5154
[17:41:00]: 5114
 Close valve V24
 Close valve LRW2
[17:41:00]: dTTP
 Open valve LR4
[17:41:00]: 5010
[17:41:01]: 9413
[17:41:01]: 9299
[17:41:01]: 9238
[17:41:01]: 9153
[17:41:02]: 9081
[17:41:02]: 9106
[17:41:02]: 9081
[17:41:03]: 9046
[17:41:03]: 8992
[17:41:03]: 8987
[17:41:04]: 8988
[17:41:04]: 9000
[17:41:04]: 8947
[17:41:05]: 8957
[17:41:05]: 8979
[17:41:05]: 8970
[17:41:06]: 8978
[17:41:06]: 8976
[17:41:06]: 8994
[17:41:07]: 8959
[17:41:07]: 9031
[17:41:07]: 9035
[17:41:08]: 9024
[17:41:08]: 9020
